Virtual address: 6942; Physical address: 26398; Value: 6
Virtual address: 34998; Physical address: 26806; Value: 34
Virtual address: 27069; Physical address: 27069; Value: 0
Virtual address: 51926; Physical address: 27350; Value: 50
Virtual address: 60645; Physical address: 7397; Value: 0
Virtual address: 43181; Physical address: 17581; Value: 0
Virtual address: 10559; Physical address: 27455; Value: 79
Virtual address: 4664; Physical address: 27704; Value: 0
Virtual address: 28578; Physical address: 28066; Value: 27
Virtual address: 59516; Physical address: 25980; Value: 0
Virtual address: 38912; Physical address: 3840; Value: 0
Virtual address: 63562; Physical address: 28234; Value: 62
Virtual address: 64846; Physical address: 2126; Value: 62
Virtual address: 62938; Physical address: 28634; Value: 61
Virtual address: 27194; Physical address: 28730; Value: 26
Virtual address: 28804; Physical address: 1412; Value: 0
Virtual address: 61703; Physical address: 22279; Value: 129
Virtual address: 10998; Physical address: 12534; Value: 26
Virtual address: 6596; Physical address: 29124; Value: 0
Virtual address: 37721; Physical address: 29273; Value: 0
Virtual address: 43430; Physical address: 29606; Value: 42
Virtual address: 22692; Physical address: 2980; Value: 0
Virtual address: 62971; Physical address: 28667; Value: 126
Virtual address: 47125; Physical address: 29717; Value: 0
Virtual address: 52521; Physical address: 29993; Value: 0
Virtual address: 34646; Physical address: 18006; Value: 51
Virtual address: 32889; Physical address: 4217; Value: 0
Virtual address: 13055; Physical address: 30463; Value: 191
Virtual address: 65416; Physical address: 30600; Value: 0
Virtual address: 62869; Physical address: 28565; Value: 0
Virtual address: 57314; Physical address: 30946; Value: 55
Virtual address: 12659; Physical address: 31091; Value: 92
Virtual address: 14052; Physical address: 31460; Value: 0
Virtual address: 32956; Physical address: 4284; Value: 0
Virtual address: 49273; Physical address: 8569; Value: 0
Virtual address: 50352; Physical address: 14000; Value: 0
Virtual address: 49737; Physical address: 31561; Value: 0
Virtual address: 15555; Physical address: 31939; Value: 48
Virtual address: 47475; Physical address: 32115; Value: 92
Virtual address: 15328; Physical address: 32480; Value: 0
Virtual address: 34621; Physical address: 17981; Value: 0
Virtual address: 51365; Physical address: 32677; Value: 0
Virtual address: 32820; Physical address: 4148; Value: 0
Virtual address: 48855; Physical address: 32983; Value: 181
Virtual address: 12224; Physical address: 2752; Value: 0
Virtual address: 2035; Physical address: 33267; Value: 252
Virtual address: 60539; Physical address: 7291; Value: 222
